State,Month,Year,Gross_Statutory,VAT,Total_Allocation,Exchange_Gain,Deduction,EMTL,Source_File
ABIA,4,2021,1460694458.5041747,1036955401.0117,2563978771.393975,11283398.879999999,-117386947.9019,,"Disbursement April, 2021.xlsx"
ADAMAWA,4,2021,1842456415.59,1271865568.8199,3200948395.9137,14232388.2579,-145104778.0833,,"Disbursement April, 2021.xlsx"
AKWA IBOM,4,2021,2454043677.755825,1804924576.6472,4354098074.526725,18956704.8229,-213522507.2378,,"Disbursement April, 2021.xlsx"
ANAMBRA,4,2021,1852413245.3966022,1363487191.9136,3303753681.514202,14309301.5931,-145130245.2954,,"Disbursement April, 2021.xlsx"
BAUCHI,4,2021,2102855603.007961,1382565717.7594,3610818211.731961,16243888.9409,-139085474.1462,,"Disbursement April, 2021.xlsx"
BAYELSA,4,2021,855939201.9480582,853621368.6495,1761542537.3562582,6611857.3815,-55672036.7791,,"Disbursement April, 2021.xlsx"
BENUE,4,2021,2288232352.3735924,1435019715.7877,3813919159.4545927,17675865.2121,-159615654.1022,,"Disbursement April, 2021.xlsx"
BORNO,4,2021,2484334606.131068,1570988945.0736,4180927047.426469,19190692.5876,-186858610.7381,,"Disbursement April, 2021.xlsx"
CROSS RIVER,4,2021,1601572274.2036893,1071954134.662,2754624707.112089,12371635.087199999,-120336180.84,,"Disbursement April, 2021.xlsx"
DELTA,4,2021,2052185168.74767,1532280849.0573,3670192824.5405703,15852475.9963,-172382588.0771,,"Disbursement April, 2021.xlsx"
EBONYI,4,2021,1184739951.3437865,874497653.8482,2106103281.2809863,9151738.3156,-102142569.6145,,"Disbursement April, 2021.xlsx"
EDO,4,2021,1570199418.9983494,1143042649.1173,2786378311.429449,12129289.7861,-124352379.0332,,"Disbursement April, 2021.xlsx"
EKITI,4,2021,1246795280.9449515,984797953.4007,2278251861.1968513,9631095.9467,-110154501.0903,,"Disbursement April, 2021.xlsx"
ENUGU,4,2021,1595345953.8602912,1115410896.7955,2793676872.4951916,12323538.7477,-117731354.5331,,"Disbursement April, 2021.xlsx"
GOMBE,4,2021,1093132161.8169904,731970020.3937,1886253895.1053905,8444097.3562,-76334750.3288,,"Disbursement April, 2021.xlsx"
IMO,4,2021,2138118459.9167962,1539485420.2021,3760548287.139596,16516283.2654,-185973071.8416,,"Disbursement April, 2021.xlsx"
JIGAWA,4,2021,2246294752.80301,1613729998.4725,3956298121.07411,17351910.632,-186249761.1761,,"Disbursement April, 2021.xlsx"
KADUNA,4,2021,2526171151.2596116,1849828255.8272,4533499174.810012,19513866.5567,-160224245.1906,,"Disbursement April, 2021.xlsx"
KANO,4,2021,4021880980.1452427,3139203865.1106,6849822131.897543,31067748.0136,-817106572.6766,,"Disbursement April, 2021.xlsx"
KATSINA,4,2021,3061926448.3564076,2084186357.8099,5296086988.934208,23652405.3813,-235133357.5207,,"Disbursement April, 2021.xlsx"
KEBBI,4,2021,1932404253.45233,1220002201.8178,3218434518.8672304,14927206.6223,-145334843.3474,,"Disbursement April, 2021.xlsx"
KOGI,4,2021,1997281341.684466,1232431416.9038,3302671021.5188656,15428361.7445,-145500783.572,,"Disbursement April, 2021.xlsx"
KWARA,4,2021,1413285754.316505,935141091.4812,2392429159.279805,10917181.7651,-110580344.2858,,"Disbursement April, 2021.xlsx"
LAGOS,4,2021,2407526895.1973786,7131015655.515,9701479573.691078,18597377.5122,-139864751.1461,,"Disbursement April, 2021.xlsx"
NASSARAWA,4,2021,1260894478.8309708,766802162.4353,2096148533.637271,9740007.7585,-90134533.3587,,"Disbursement April, 2021.xlsx"
NIGER,4,2021,2333818418.5302916,1500859482.4794,3916843829.239291,18028003.041,-173102939.2218,,"Disbursement April, 2021.xlsx"
OGUN,4,2021,1664937621.5419416,1352011675.4254,3088388039.4174414,12861112.1815,-137965383.6753,,"Disbursement April, 2021.xlsx"
ONDO,4,2021,1590120743.2659223,1152442537.6607,2818154134.053422,12283175.6599,-124403333.062,,"Disbursement April, 2021.xlsx"
OSUN,4,2021,2153858750.1224275,1597961523.8681,3816648093.7570276,16637871.989099998,-206069361.9159,,"Disbursement April, 2021.xlsx"
OYO,4,2021,2716924759.887573,2702487048.7746,5533561885.251372,20987377.3566,-227565581.5393,,"Disbursement April, 2021.xlsx"
PLATEAU,4,2021,1703147794.708932,1124939972.0251,2896367927.822832,13156273.586199999,-118007086.1079,,"Disbursement April, 2021.xlsx"
RIVERS,4,2021,2111146108.7751458,2014651795.8469,4232160281.7108455,16307930.459800001,-159162709.4357,,"Disbursement April, 2021.xlsx"
SOKOTO,4,2021,2126250886.1484468,1451488708.9585,3685963110.2504463,16424610.045899998,-159201343.8789,,"Disbursement April, 2021.xlsx"
TARABA,4,2021,1593632152.6708736,907988999.4081,2591015350.9496737,12310300.173,-111041627.6559,,"Disbursement April, 2021.xlsx"
YOBE,4,2021,1602257467.7583497,1131309281.01,2817338374.1655498,12376927.986,-117749032.5488,,"Disbursement April, 2021.xlsx"
ZAMFARA,4,2021,1447746730.0459223,949369392.8929,2481905708.092222,11183381.8144,-97297800.5394,,"Disbursement April, 2021.xlsx"
FCT-ABUJA,4,2021,639425258.8505825,3576544717.431,4254644822.559783,4939356.211499999,-41747558.6365,,"Disbursement April, 2021.xlsx"
ABIA,4,2022,1942003382.7068932,1315861323.3863,3286994756.8337965,,0.0,,"Disbursement April, 2022.xlsx"
ADAMAWA,4,2022,2449558544.3863106,1492139504.4118,4015184805.1296997,,0.0,,"Disbursement April, 2022.xlsx"
AKWA IBOM,4,2022,3262668038.320097,2226465633.3767,5538073692.271599,,0.0,,"Disbursement April, 2022.xlsx"
ANAMBRA,4,2022,2462796218.4614563,1667307398.8391,4203987503.8543997,,0.0,,"Disbursement April, 2022.xlsx"
BAUCHI,4,2022,2795761064.616116,1723279160.5622,4602913057.1168,,0.0,,"Disbursement April, 2022.xlsx"
BAYELSA,4,2022,1137977087.4718447,772589858.7443,1927636602.5282226,,0.0,,"Disbursement April, 2022.xlsx"
BENUE,4,2022,3042220734.7049513,1741181760.1864,4689497307.391926,,-139538498.52,,"Disbursement April, 2022.xlsx"
BORNO,4,2022,3302940037.0450487,1959992475.9014,5362020714.0578,,0.0,,"Disbursement April, 2022.xlsx"
CROSS RIVER,4,2022,2129301412.7941747,1283425591.3059,3406115259.1120872,,-38551266.1799,,"Disbursement April, 2022.xlsx"
DELTA,4,2022,2728394371.9007764,1922441402.9845,4691761690.463788,,0.0,,"Disbursement April, 2022.xlsx"
EBONYI,4,2022,1575119957.3208737,1029875065.9681,2610608534.2605,,-41640087.7481,,"Disbursement April, 2022.xlsx"
EDO,4,2022,2087590984.8674755,1453193943.1777,3572098792.8181877,,0.0,,"Disbursement April, 2022.xlsx"
EKITI,4,2022,1657622947.1139805,1136902833.2737,2844254468.8011,,0.0,,"Disbursement April, 2022.xlsx"
ENUGU,4,2022,2121023476.8450487,1386035674.4996,3570689855.65,,0.0,,"Disbursement April, 2022.xlsx"
GOMBE,4,2022,1453326767.7133982,887663198.2384,2330606211.5532,,-53983557.43,,"Disbursement April, 2022.xlsx"
IMO,4,2022,2842643276.704757,1868609174.675,4753892100.530329,,0.0,,"Disbursement April, 2022.xlsx"
JIGAWA,4,2022,2986464406.093204,1978316386.8307,5054374725.1067,,0.0,,"Disbursement April, 2022.xlsx"
KADUNA,4,2022,3358562013.076699,2062023944.0856,5521342817.5546,,0.0,,"Disbursement April, 2022.xlsx"
KANO,4,2022,5347118572.823592,3801354933.7322,8796222618.7001,,-512664445.0404,,"Disbursement April, 2022.xlsx"
KATSINA,4,2022,4070852385.103204,2497587937.7022,6690565894.3585,,0.0,,"Disbursement April, 2022.xlsx"
KEBBI,4,2022,2569144816.7777667,1490946705.0787,4098628694.1081333,,0.0,,"Disbursement April, 2022.xlsx"
KOGI,4,2022,2655399354.182136,1507641037.1319,4015728382.8566685,,-187142998.7701,,"Disbursement April, 2022.xlsx"
KWARA,4,2022,1878973182.6772814,1200140336.3345,3107298116.7519407,,0.0,,"Disbursement April, 2022.xlsx"
LAGOS,4,2022,3200823654.2635922,8797132394.9835,12093980758.875,,0.0,,"Disbursement April, 2022.xlsx"
NASSARAWA,4,2022,1676367928.1936893,931040736.0794,2618461574.8789997,,-39238127.2399,,"Disbursement April, 2022.xlsx"
NIGER,4,2022,3102827724.8696113,1867911486.8046,5017281627.5472555,,0.0,,"Disbursement April, 2022.xlsx"
OGUN,4,2022,2213546080.226893,1561983144.2636,3726158656.4973,,-115776950.4,,"Disbursement April, 2022.xlsx"
ONDO,4,2022,2114076523.2299027,1391179871.2469,3489790415.5052514,,-47177126.82,,"Disbursement April, 2022.xlsx"
OSUN,4,2022,2863570101.3711653,1936318025.9464,4803766585.2586,,-82028645.1001,,"Disbursement April, 2022.xlsx"
OYO,4,2022,3612170254.733398,3153428886.7663,6790275667.6817,,-83688581.46,,"Disbursement April, 2022.xlsx"
PLATEAU,4,2022,2264346769.6607766,1352303146.8744,3650615118.0800886,,0.0,,"Disbursement April, 2022.xlsx"
RIVERS,4,2022,2806783349.359126,3896368718.4799,6745253818.079412,,0.0,,"Disbursement April, 2022.xlsx"
SOKOTO,4,2022,2826865255.3203883,1679693946.3274,4555376121.1374,,-35989038.17,,"Disbursement April, 2022.xlsx"
TARABA,4,2022,2118744966.3137863,1113327999.7161,3295635315.0192995,,0.0,,"Disbursement April, 2022.xlsx"
YOBE,4,2022,2130212382.363107,1170913840.7291,3365032594.5631,,0.0,,"Disbursement April, 2022.xlsx"
ZAMFARA,4,2022,1924789288.1935923,1161310932.9861,3143843899.8255,,0.0,,"Disbursement April, 2022.xlsx"
FCT-ABUJA,4,2022,850120303.0152427,3122962082.1186,3998585994.2243,,0.0,,"Disbursement April, 2022.xlsx"
ABIA,4,2023,1919305241.29845,1223580204.8176,3281747868.434827,,0.0,110072843.6993,"Disbursement April, 2023.xlsx"
ADAMAWA,4,2023,2420928096.71379,1519225927.2679,4098708070.2304034,,-29166666.69,115092870.0373,"Disbursement April, 2023.xlsx"
AKWA IBOM,4,2023,3224533964.42437,2112463910.2545,5542933324.982035,,0.0,157567440.8368,"Disbursement April, 2023.xlsx"
ANAMBRA,4,2023,2434011048.81418,1773599573.8203,4439565119.137105,,0.0,158934165.0382,"Disbursement April, 2023.xlsx"
BAUCHI,4,2023,2763084200.84019,1663124779.6744,4634841565.665996,,0.0,125740059.1262,"Disbursement April, 2023.xlsx"
BAYELSA,4,2023,1124676407.83311,1025837022.5553,2219380950.2039065,,0.0,51997373.698,"Disbursement April, 2023.xlsx"
BENUE,4,2023,3006663249.5599,1785577471.7513,4830395095.620098,,-139538498.5201,132592924.0856,"Disbursement April, 2023.xlsx"
BORNO,4,2023,3264335263.90621,1952941856.1182,5462089066.510396,,0.0,146881888.5688,"Disbursement April, 2023.xlsx"
CROSS RIVER,4,2023,2104414131.44388,1278919692.6259,3477907500.4462385,,-38551266.18,101558730.5848,"Disbursement April, 2023.xlsx"
DELTA,4,2023,2696504890.2333,2195696869.8157,5107232065.6091,,0.0,174582732.2066,"Disbursement April, 2023.xlsx"
EBONYI,4,2023,1556709950.49767,1020078960.0333,2650474718.3413997,,-46795742.9999,73780252.2954,"Disbursement April, 2023.xlsx"
EDO,4,2023,2063191215.12515,1502878016.515,3732206751.1438274,,0.0,135189651.2768,"Disbursement April, 2023.xlsx"
EKITI,4,2023,1638248645.0966,1173676799.3618,2948334921.336198,,0.0,87262017.5249,"Disbursement April, 2023.xlsx"
ENUGU,4,2023,2096232948.03515,1344940716.4258,3618359287.427005,,0.0,114298634.525,"Disbursement April, 2023.xlsx"
GOMBE,4,2023,1436340280.05854,892074644.4993,2385839014.6082964,,-53983557.43,68317439.0787,"Disbursement April, 2023.xlsx"
IMO,4,2023,2809418453.49233,1849772286.2888,4853592100.211715,,0.0,152260083.6282,"Disbursement April, 2023.xlsx"
JIGAWA,4,2023,2951558601.08573,2016968428.9636,5198615029.256001,,0.0,141541241.1741,"Disbursement April, 2023.xlsx"
KADUNA,4,2023,3319307130.1134,2178138963.5608,5768520428.482002,,0.0,171495120.9044,"Disbursement April, 2023.xlsx"
KANO,4,2023,5284621434.77806,3734514195.1624,8954429229.095701,,-512664445.0398,289419401.1517,"Disbursement April, 2023.xlsx"
KATSINA,4,2023,4023272250.11874,2466924428.0817,6798177723.610502,,0.0,187282877.9065,"Disbursement April, 2023.xlsx"
KEBBI,4,2023,2539116644.39204,1500381795.6893,4190152474.7534204,,0.0,112567285.0062,"Disbursement April, 2023.xlsx"
KOGI,4,2023,2624363038.50223,1523067000.7236,4116934752.1122637,,-187142998.77,117282266.0789,"Disbursement April, 2023.xlsx"
KWARA,4,2023,1857011738.43738,1197540279.2514,3178486211.6078405,,0.0,96079017.8425,"Disbursement April, 2023.xlsx"
LAGOS,4,2023,3163412417.71544,8487268644.6781,12179067029.251503,,0.0,433483594.3265,"Disbursement April, 2023.xlsx"
NASSARAWA,4,2023,1656774534.78087,919226943.0851,2661269886.073396,,-39238127.2401,74803299.4041,"Disbursement April, 2023.xlsx"
NIGER,4,2023,3066561865.04039,1926073916.4295,5180373536.722197,,0.0,141739327.2767,"Disbursement April, 2023.xlsx"
OGUN,4,2023,2187674146.94883,1594174451.0923,3877890018.2991953,,-115776950.3997,146188146.2493,"Disbursement April, 2023.xlsx"
ONDO,4,2023,2089367190.43456,1424926695.6426,3613347627.0859785,,-47177126.8198,114890359.9721,"Disbursement April, 2023.xlsx"
OSUN,4,2023,2830100685.36903,1983618613.1975,4970963340.3227005,,-82028645.0998,154369666.2949,"Disbursement April, 2023.xlsx"
OYO,4,2023,3569951197.87485,3177463432.1046,6992915054.719095,,-83688581.4598,222090470.2632,"Disbursement April, 2023.xlsx"
PLATEAU,4,2023,2237881077.77116,1309438457.0667,3686853021.503927,,0.0,105965270.4995,"Disbursement April, 2023.xlsx"
RIVERS,4,2023,2773977657.08592,4118623293.566,7108394875.346809,,0.0,174184259.8386,"Disbursement April, 2023.xlsx"
SOKOTO,4,2023,2793824845.66981,1639686053.4838,4607738368.337404,,-35989038.1698,126401761.9835,"Disbursement April, 2023.xlsx"
TARABA,4,2023,2093981068.74175,1097622710.9928,3339776924.9520025,,0.0,85353713.1552,"Disbursement April, 2023.xlsx"
YOBE,4,2023,2105314453.59748,1210659796.5437,3467388052.7217045,,0.0,88254368.9726,"Disbursement April, 2023.xlsx"
ZAMFARA,4,2023,1902292345.17388,1137483991.2846,3184040495.5021963,,0.0,87195388.6885,"Disbursement April, 2023.xlsx"
FCT-ABUJA,4,2023,840184094.343398,1984385174.3296,2943845349.8768,,0.0,94070558.3735,"Disbursement April, 2023.xlsx"
